scenario,pStart_healthy,pCompliance_healthy,pSeek_exposure,pStart_exposure,pCompliance_exp,base_vax_cov_unowned,base_vax_cov_owned,target_vax_cov_unowned,target_vax_cov_owned,pInvestigate,pFound,pTestable,pFS,RIG_cov,init_PrEP_cov,PrEP_vials_per_pt,PEP_vials_per_pt,human_vaccine_cost_per_vial,RIG_cost,ibcm
SQ,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.03,0.5,0.5,0.4,0.2,0.05,0.38,0,0,0.88,6.25,12,no
SQ_addIndian_PrEP,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.03,0.5,0.5,0.4,0.2,0.05,0.38,0.14,0.33,0.88,6.25,12,no
WHO_PEP_1ml_IM_PrEP,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.03,0.5,0.5,0.4,0.2,0.05,0.38,0.14,1,0.66,6.25,12,no
WHO_PEP_and_PrEP,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.03,0.5,0.5,0.4,0.2,0.05,0.38,0.14,0.44,0.66,6.25,12,no
WHO_PEP_and_PrEP_reducedMDVUnowned,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0,0.5,0.5,0.4,0.2,0.05,0.38,0.14,0.44,0.66,6.25,12,no
SQ_mod_MDVUnowned,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.3,0.5,0.5,0.4,0.2,0.05,0.38,0,0,0.88,6.25,12,no
SQ_MDVscaleupUnowned,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.7,0.5,0.5,0.4,0.2,0.05,0.38,0,0,0.88,6.25,12,no
SQ_MDVscaleupOwned,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.03,0.8,0.5,0.4,0.2,0.05,0.38,0,0,0.88,6.25,12,no
SQ_MDVscaleupAll,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.7,0.7,0.5,0.4,0.2,0.05,0.38,0,0,0.88,6.25,12,no
WHO_PEP_and_SQ_MDV,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.03,0.5,0.5,0.4,0.2,0.05,0.38,0,0,0.66,6.25,12,no
WHO_PEP_MDVscaleupAll,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.7,0.7,0.5,0.4,0.2,0.05,0.38,0,0,0.66,6.25,12,no
WHO_PEPandPrEP_MDVscaleupUnowned,0.9684211,0.9486833,0.95,0.9684211,0.9486833,0.03,0.5,0.7,0.5,0.5,0.4,0.2,0.05,0.38,0.14,0.44,0.66,6.25,12,no
