"","scenario","ts_exposures_LL","ts_exposures_Median","ts_exposures_UL","ts_deaths_LL","ts_deaths_Median","ts_deaths_UL","ts_deaths_averted_LL","ts_deaths_averted_Median","ts_deaths_averted_UL","ts_deaths_averted_PEP_LL","ts_deaths_averted_PEP_Median","ts_deaths_averted_PEP_UL","ts_deaths_averted_PrEP_LL","ts_deaths_averted_PrEP_Median","ts_deaths_averted_PrEP_UL","ts_deaths_averted_MDV_LL","ts_deaths_averted_MDV_Median","ts_deaths_averted_MDV_UL","ts_cost_per_year_LL","ts_cost_per_year_Median","ts_cost_per_year_UL","ts_cost_per_life_saved_LL","ts_cost_per_life_saved_Median","ts_cost_per_life_saved_UL","ts_QALYs_gained_LL","ts_QALYs_gained_Median","ts_QALYs_gained_UL","ts_QALYs_gained_discounted_LL","ts_QALYs_gained_discounted_Median","ts_QALYs_gained_discounted_UL","ts_cost_per_QALY_gained_LL","ts_cost_per_QALY_gained_Median","ts_cost_per_QALY_gained_UL","ts_cost_PEP_per_year_LL","ts_cost_PEP_per_year_Median","ts_cost_PEP_per_year_UL","ts_cost_PrEP_LL","ts_cost_PrEP_Median","ts_cost_PrEP_UL","ts_RIG_cost_per_year_LL","ts_RIG_cost_per_year_UL","ts_MDV_campaign_cost_LL","ts_MDV_campaign_cost_Median","ts_MDV_campaign_cost_UL","inc_cost","inc_effect","scenario_label"
"1","SQ",23094.85,27511,32517.025,353,431,523,12839.9,13784.5,14732.05,3593,4289,5078.1,0,0,0,8368.80675,9528.16,10687.61525,49897305.3955811,50257666.7560491,50635511.1278071,34532.5528678622,36947.8993794685,39679.8374713851,796073.8,854639,913387.1,696439.421442362,747237.944193756,799225.792358161,631.035556540355,674.620598075699,723.765522213806,25039706.4838033,45836400.2658638,25081008.2031515,0,0,0,20748603.4960234,20805807.1300959,4067398.9952497,4421705.68113217,4803104.33075413,0,0,"A. SQ"
"2","SQ_addIndian_PrEP",23037.35,27442.5,32397.725,341,422,509,12822.825,13805,14756.025,3591,4290,5076,0,0,2,8363.98725,9552.895,10693.867,61502310.1056308,61878722.5672665,62250832.5886813,43553.3735719037,46948.8735526642,50873.0140836207,795015.15,855910,914873.55,695301.553004668,748260.143477062,799764.595629959,780.071227931404,838.547868272729,906.674196643854,25038316.4151348,42103491.0229609,25082182.7088167,15343398.7914782,15353574.6810398,15363821.608695,17015548.7013788,17069807.6472163,4047555.71540737,4424418.08113302,4799921.3461593,11621055.8112174,1022.19928330579,"B. SQ + PrEP (India regimen)"
"3","WHO_PEP_1ml_IM_PrEP",23078.6,27508,32387.325,344,421,506.025,12854,13802,14729,3594.975,4290,5072.075,0,0,2,8344.93875,9543.97,10647.2955,86409121.9967031,86792333.7455187,87162220.394683,62860.3393699443,68063.4147481624,74613.2349457482,796948,855724,913198,696503.317946431,747960.554962853,798061.320267443,1101.42414614355,1188.43303844172,1296.34403693347,18778847.3030552,35837538.7953948,18811065.4381405,46494345.4920934,46525572.426664,46556162.6076233,17016054.1842912,17068975.9341673,4049988.73238234,4425725.19431885,4791310.72979735,36534666.9894696,722.610769096646,"C. WHO PEP + 1-shot PrEP"
"4","WHO_PEP_and_PrEP",23078.675,27460,32347.325,343,421,505,12865.9,13781.5,14734,3597.975,4284.5,5047,0,0,2,8397.8215,9532.41,10697.08,60365635.3421617,60731032.187253,61113395.2335955,43234.0057504744,46614.0913525037,50468.1799390596,797685.8,854453,913508,697231.285578301,747188.240075796,798145.630432329,768.659614927792,826.567716540371,892.256184442687,18778557.5541739,35837237.9702553,18810996.3796322,20458006.0549439,20471785.0895446,20485591.5753043,17015639.8697397,17068388.9855708,4057275.69214187,4424767.60030512,4801069.74316169,10473365.431204,-49.7041179600637,"D. WHO PEP & PrEP"
"5","WHO_PEP_and_PrEP_reducedMDVUnowned",26779.475,31883,37179.275,401,488,581,12796.925,13714,14692.125,4168.975,4970.5,5794,0,0,3,7567.26525,8789.255,10021.891,59098697.48496,59487609.7152748,59855487.9990605,42502.9496206911,45768.9814120639,49710.1768342733,793409.35,850268,910911.75,693824.842436672,743768.876859993,796799.527680438,754.754414336682,811.609892635472,878.891862315529,18779563.5814619,35838021.0605605,18810916.0949442,20457838.7941045,20471265.3610195,20485700.2660945,17016014.308199,17069132.9280076,2786623.92851957,3177744.07831888,3540030.71756265,9229942.95922577,-3469.06733376312,"E. D + drop in MDV"
"6","WHO_PEPandPrEP_MDVscaleupUnowned",4156.9,5216.5,6476.15,57.975,80,107,13148.975,14141,15094.175,643,813.5,1019,0,0,1,12331.69375,13325.45,14243.77725,86077890.279849,88225584.8022308,92511207.7286471,60898.774506606,65651.426160739,71682.6811237947,815236.45,876742,935838.85,711908.771360256,766167.792142059,818483.916338171,1092.13442273094,1174.14881554543,1279.53554927855,18779244.5038195,35837765.3019897,18811206.845799,20457852.5408269,20471619.9825447,20485515.4914065,17016615.9362431,17068687.1980414,29779098.0612518,31915231.5643536,36212444.2516861,37967918.0461817,18929.8479483027,"F. D + MDV scale-up in unowned"
"7","SQ_mod_MDVUnowned",7466.975,9288.5,11448.075,110,146,187,13100.9,14058,15043.075,1155,1448,1800,0,0,0,11682.51475,12622.585,13585.39275,60331195.0601837,61371902.0119307,63229354.1676468,41435.5825726564,44340.3180794805,47793.8519589081,812255.8,871596,932670.65,709503.724148681,761956.853255093,815429.245567606,756.179151407592,809.041475992902,871.666042633924,25038241.8419181,45837254.2501768,25081215.7720957,0,0,0,20747440.4241385,20806304.6270756,14494041.2838372,15534051.2398039,17384390.1656825,11114235.2558817,14718.9090613362,"G. SQ + moderate MDV in unowned"
"8","SQ_MDVscaleupUnowned",4134.85,5215,6484.1,59,82,109,13149.95,14144,15076.025,633,814.5,1023,0,0,0,12367.0495,13323.58,14242.8295,75586211.7865716,77749324.3900788,82156214.3598117,52162.6050760801,56139.6637991757,60952.4326735956,815296.9,876928,934713.55,712366.203771105,766428.480124178,817176.997163651,954.261501360645,1024.10286416889,1109.25780356731,25038327.9475963,45837124.4902119,25080424.4527503,0,0,0,20748496.5638066,20806474.1942986,29752603.6033694,31907578.6026544,36308165.7762042,27491657.6340297,19190.5359304211,"H. SQ + MDV scale-up in unowned"
"9","SQ_MDVscaleupOwned",9980.8,12429.5,15280.65,149,195,250,13053.95,14028,14946.05,1541.975,1942,2393.025,0,0,0,11077.8545,12108.08,13098.1685,50950643.5782668,51478095.4018041,52022242.6089014,34901.8256332368,37248.9204731127,39953.0972588938,809344.9,869736,926655.1,707119.022614172,760025.272849655,810827.234037906,637.377957171842,679.677657275294,728.238331180945,25039353.1631718,45836682.7545747,25081286.577307,0,0,0,20747783.5790933,20804887.2601468,5115534.7879557,5639929.65222655,6180802.81001326,1220428.64575503,12787.3286558983,"I. SQ + intense MDV in owned"
"10","SQ_MDVscaleupAll",3748.95,4771.5,5987,53,75,103,13186.95,14140,15077,581,746,945.025,0,0,0,12494.1415,13397.02,14317.64225,76314295.2046444,78500374.6977957,83073089.2734167,52757.3850611572,56619.2767383241,61629.7497721247,817590.9,876680,934774,714355.153305173,765992.642648644,817240.289893694,965.447398054067,1033.45305434511,1122.89193568286,25038682.9249292,45837914.7843141,25081242.8294199,0,0,0,20749023.3628044,20805765.369142,30486816.1873107,32664211.1170339,37232228.7479945,28242707.9417467,18754.6984548874,"J. SQ + MDV scale-up in all"
"11","WHO_PEP_and_SQ_MDV",23059.75,27513.5,32217.35,352.975,432,519.025,12810.95,13774.5,14736.075,3581.925,4282,5028.025,0,0,0,8367.69325,9529.01,10648.086,43617771.2611386,43996914.7502916,44372318.5365932,30265.3087186698,32347.3953600244,34786.3559353926,794278.9,854019,913636.65,694223.616509188,746843.722923189,799053.639384923,552.952349780626,590.672166353911,635.157874242652,18778560.8028774,39572183.8147976,18810544.7171696,0,0,0,20748234.8082007,20806673.8562262,4057933.25842466,4425483.73444912,4798224.07883686,-6260752.00575749,-394.221270567272,"K. WHO PEP + SQ MDV"
