"scenario_label","US$200","US$500","US$1000","US$2034","US$2535","US$3092","US$4000","US$5000"
"A. SQ","495,883 (14%)","646,668 (16%)","696,929 (11%)","722,480 (7%)","727,364 (6%)","730,935 (6%)","734,625 (5%)","737,139 (5%)"
"B. SQ + PrEP (India regimen)","438,586 (0%)","624,236 (3%)","686,119 (5%)","717,578 (4%)","723,591 (4%)","727,988 (4%)","732,532 (4%)","735,626 (4%)"
"C. WHO PEP + 1-shot PrEP","313,953 (0%)","574,326 (0%)","661,118 (0%)","705,239 (2%)","713,672 (2%)","719,839 (2%)","726,211 (3%)","730,551 (3%)"
"D. WHO PEP & PrEP","444,035 (0%)","626,238 (4%)","686,973 (5%)","717,847 (5%)","723,749 (5%)","728,065 (5%)","732,523 (5%)","735,560 (4%)"
"E. D + drop in MDV","446,921 (0%)","625,373 (4%)","684,857 (5%)","715,096 (4%)","720,876 (4%)","725,103 (4%)","729,470 (4%)","732,444 (4%)"
"F. D + MDV scale-up in unowned","322,717 (0%)","588,736 (0%)","677,409 (2%)","722,487 (8%)","731,103 (9%)","737,404 (10%)","743,914 (11%)","748,348 (12%)"
"G. SQ + moderate MDV in unowned","454,659 (1%)","639,203 (10%)","700,718 (14%)","731,990 (13%)","737,967 (13%)","742,338 (12%)","746,854 (12%)","749,930 (12%)"
"H. SQ + MDV scale-up in unowned","374,638 (0%)","609,279 (1%)","687,492 (6%)","727,252 (10%)","734,852 (11%)","740,410 (12%)","746,152 (12%)","750,063 (13%)"
"I. SQ + intense MDV in owned","502,352 (20%)","656,776 (28%)","708,251 (21%)","734,419 (16%)","739,420 (14%)","743,078 (13%)","746,857 (13%)","749,431 (12%)"
"J. SQ + MDV scale-up in all","370,831 (0%)","607,822 (1%)","686,819 (5%)","726,977 (9%)","734,653 (10%)","740,267 (10%)","746,066 (11%)","750,016 (11%)"
"K. WHO PEP + SQ MDV","526,625 (64%)","658,612 (30%)","702,608 (16%)","724,973 (8%)","729,248 (7%)","732,374 (6%)","735,604 (6%)","737,804 (5%)"
"L. WHO PEP + MDV scale-up all","403,010 (0%)","621,292 (3%)","694,053 (9%)","731,041 (14%)","738,111 (14%)","743,281 (15%)","748,623 (15%)","752,261 (15%)"
