"Scenario","Deaths","Deaths averted","Total QALYs gained (discounted)","Total costs ($M)","Cost per QALY gained ($)","Mean NHB","Probability optimal","Ranking"
"A. SQ","431 (353–523)","13,784 (12,840–14,732)","747,238 (696,439–799,226)","50.26 (49.90–50.64)","675 (631–724)","727,364","6%",8
"B. SQ + PrEP (India regimen)","422 (341–509)","13,805 (12,823–14,756)","748,260 (695,302–799,765)","61.88 (61.50–62.25)","839 (780–907)","723,591","4%",10
"C. WHO PEP + 1-shot PrEP","421 (344–506)","13,802 (12,854–14,729)","747,961 (696,503–798,061)","86.79 (86.41–87.16)","1,188 (1,101–1,296)","713,672","2%",12
"D. WHO PEP & PrEP","421 (343–505)","13,782 (12,866–14,734)","747,188 (697,231–798,146)","60.73 (60.37–61.11)","827 (769–892)","723,749","5%",9
"E. D + drop in MDV","488 (401–581)","13,714 (12,797–14,692)","743,769 (693,825–796,800)","59.49 (59.10–59.86)","812 (755–879)","720,876","4%",11
"F. D + MDV scale-up in unowned","80 (58–107)","14,141 (13,149–15,094)","766,168 (711,909–818,484)","88.23 (86.08–92.51)","1,174 (1,092–1,280)","731,103","9%",6
"G. SQ + moderate MDV in unowned","146 (110–187)","14,058 (13,101–15,043)","761,957 (709,504–815,429)","61.37 (60.33–63.23)","809 (756–872)","737,967","13%",3
"H. SQ + MDV scale-up in unowned","82 (59–109)","14,144 (13,150–15,076)","766,428 (712,366–817,177)","77.75 (75.59–82.16)","1,024 (954–1,109)","734,852","11%",4
"I. SQ + intense MDV in owned","195 (149–250)","14,028 (13,054–14,946)","760,025 (707,119–810,827)","51.48 (50.95–52.02)","680 (637–728)","739,420","14%",1
"J. SQ + MDV scale-up in all","75 (53–103)","14,140 (13,187–15,077)","765,993 (714,355–817,240)","78.50 (76.31–83.07)","1,033 (965–1,123)","734,653","10%",5
"K. WHO PEP + SQ MDV","432 (353–519)","13,774 (12,811–14,736)","746,844 (694,224–799,054)","44.00 (43.62–44.37)","591 (553–635)","729,248","7%",7
"L. WHO PEP + MDV scale-up all","75 (53–100)","14,149 (13,169–15,152)","766,558 (713,364–821,356)","72.28 (70.19–76.76)","950 (882–1,040)","738,111","14%",2
