"","unowned_mult","HDR","unowned_prop","owned_cov","pSeek_exp","deaths_LL","deaths_Median","deaths_UL","bites_LL","bites_Median","bites_UL","exposures_LL","exposures_Median","exposures_UL","exposure_pct_LL","exposure_pct_Median","exposure_pct_UL","owned_vax_cov","median_deaths"
"1",1,31.1111111111111,0.257,0.4,0.5,237.975,315,406,5350478.025,5354988,5359423.1,2778.725,3560.5,4523.05,0.0519341447066311,0.0664894113674951,0.0843943446077247,0.4,315
"2",1,31.1111111111111,0.257,0.5,0.5,105,148,210.025,5350445.275,5354973,5359617,1233,1681.5,2273.05,0.023044810976036,0.0314007185470403,0.0424106797183455,0.5,148
"3",2,24.7524752475248,0.409,0.4,0.5,649,816.5,1020.225,5350419.175,5355030,5359627.4,7403.675,9200.5,11465.025,0.138375606804676,0.171810428699746,0.213914590406042,0.4,816.5
"4",2,24.7524752475248,0.409,0.5,0.5,296.975,384,506.075,5350769.625,5355119,5359693.1,3423.85,4322.5,5587.55,0.0639879912602292,0.0807171605336875,0.104251304986101,0.5,384
"5",3,20.5519671168526,0.509,0.4,0.5,1350.95,1624.5,1936.05,5350742.2,5355077,5359624.25,15222.725,18316,21713.625,0.284497447849384,0.342030562772487,0.405133344935515,0.4,1624.5
"6",3,20.5519671168526,0.509,0.5,0.5,656.95,842,1061.1,5350316.65,5354929.5,5359511.25,7478.5,9504.5,11921.2,0.13977677377282,0.17749066537664,0.222430730040916,0.5,842
"7",4,17.570281124498,0.58,0.4,0.5,2240.975,2623,3001.075,5350513.65,5354971.5,5359506.6,25354.675,29594,33703.775,0.473873662578171,0.552645331539113,0.628859660327688,0.4,2623
"8",4,17.570281124498,0.58,0.5,0.5,1267.975,1562.5,1895.05,5350585.9,5355061.5,5359543.625,14580.95,17650.5,21263.05,0.272511277690168,0.329604057768524,0.396732473653482,0.5,1562.5
"9",5,15.3441473038141,0.633,0.4,0.5,3187.975,3656.5,4188.1,5350790.85,5354921,5359570.425,35965.725,41348.5,47159.1,0.67215718214813,0.772158917003631,0.879904474806859,0.4,3656.5
"10",5,15.3441473038141,0.633,0.5,0.5,2066.85,2474,2895.125,5350551.2,5354905.5,5359336.05,23634.025,27905.5,32666.775,0.441711967918371,0.521120307351829,0.60953026074937,0.5,2474
"11",6,13.6186770428016,0.675,0.4,0.5,4162.825,4767.5,5330.075,5350660.85,5354908,5359480.6,47368.7,53766.5,59654.025,0.885286908064823,1.00406020047403,1.11305608606924,0.4,4767.5
"12",6,13.6186770428016,0.675,0.5,0.5,2957.975,3488,4016.2,5350238.6,5355048,5359350,33809.95,39440,45343.725,0.631933499190111,0.7365013348153,0.846067620140502,0.5,3488
"13",7,12.242042672263,0.708,0.4,0.5,5157,5798.5,6432.175,5350487.6,5355022,5359444.075,58555.15,65491.5,72305.925,1.09438904222486,1.22299217444858,1.34913106635971,0.4,5798.5
"14",7,12.242042672263,0.708,0.5,0.5,3948.95,4541,5171.025,5350352.625,5355110.5,5359979.05,44565.9,51145,58506.2,0.83295257571925,0.955068994374626,1.09153784845484,0.5,4541
"15",1,31.1111111111111,0.257,0.4,0.6,191,256,336.025,5350478.025,5354988,5359423.1,2778.725,3560.5,4523.05,0.0519341447066311,0.0664894113674951,0.0843943446077247,0.4,256
"16",1,31.1111111111111,0.257,0.5,0.6,84,122,169,5350445.275,5354973,5359617,1233,1681.5,2273.05,0.023044810976036,0.0314007185470403,0.0424106797183455,0.5,122
"17",2,24.7524752475248,0.409,0.4,0.6,527.975,667,832.05,5350419.175,5355030,5359627.4,7403.675,9200.5,11465.025,0.138375606804676,0.171810428699746,0.213914590406042,0.4,667
"18",2,24.7524752475248,0.409,0.5,0.6,240,312,417,5350769.625,5355119,5359693.1,3423.85,4322.5,5587.55,0.0639879912602292,0.0807171605336875,0.104251304986101,0.5,312
"19",3,20.5519671168526,0.509,0.4,0.6,1095,1323.5,1595.025,5350742.2,5355077,5359624.25,15222.725,18316,21713.625,0.284497447849384,0.342030562772487,0.405133344935515,0.4,1323.5
"20",3,20.5519671168526,0.509,0.5,0.6,530,687,867,5350316.65,5354929.5,5359511.25,7478.5,9504.5,11921.2,0.13977677377282,0.17749066537664,0.222430730040916,0.5,687
"21",4,17.570281124498,0.58,0.4,0.6,1836.8,2143,2442.075,5350513.65,5354971.5,5359506.6,25354.675,29594,33703.775,0.473873662578171,0.552645331539113,0.628859660327688,0.4,2143
"22",4,17.570281124498,0.58,0.5,0.6,1042.975,1273,1545.075,5350585.9,5355061.5,5359543.625,14580.95,17650.5,21263.05,0.272511277690168,0.329604057768524,0.396732473653482,0.5,1273
"23",5,15.3441473038141,0.633,0.4,0.6,2593.9,2984.5,3418.075,5350790.85,5354921,5359570.425,35965.725,41348.5,47159.1,0.67215718214813,0.772158917003631,0.879904474806859,0.4,2984.5
"24",5,15.3441473038141,0.633,0.5,0.6,1685.925,2019.5,2382.15,5350551.2,5354905.5,5359336.05,23634.025,27905.5,32666.775,0.441711967918371,0.521120307351829,0.60953026074937,0.5,2019.5
"25",6,13.6186770428016,0.675,0.4,0.6,3406,3893,4344.025,5350660.85,5354908,5359480.6,47368.7,53766.5,59654.025,0.885286908064823,1.00406020047403,1.11305608606924,0.4,3893
"26",6,13.6186770428016,0.675,0.5,0.6,2443,2847.5,3288.15,5350238.6,5355048,5359350,33809.95,39440,45343.725,0.631933499190111,0.7365013348153,0.846067620140502,0.5,2847.5
"27",7,12.242042672263,0.708,0.4,0.6,4195.925,4738,5237.075,5350487.6,5355022,5359444.075,58555.15,65491.5,72305.925,1.09438904222486,1.22299217444858,1.34913106635971,0.4,4738
"28",7,12.242042672263,0.708,0.5,0.6,3235.6,3699.5,4251.1,5350352.625,5355110.5,5359979.05,44565.9,51145,58506.2,0.83295257571925,0.955068994374626,1.09153784845484,0.5,3699.5
"29",1,31.1111111111111,0.257,0.4,0.7,147,199,262,5350478.025,5354988,5359423.1,2778.725,3560.5,4523.05,0.0519341447066311,0.0664894113674951,0.0843943446077247,0.4,199
"30",1,31.1111111111111,0.257,0.5,0.7,64,95,134,5350445.275,5354973,5359617,1233,1681.5,2273.05,0.023044810976036,0.0314007185470403,0.0424106797183455,0.5,95
"31",2,24.7524752475248,0.409,0.4,0.7,408.975,516,640.075,5350419.175,5355030,5359627.4,7403.675,9200.5,11465.025,0.138375606804676,0.171810428699746,0.213914590406042,0.4,516
"32",2,24.7524752475248,0.409,0.5,0.7,183.975,242,325.025,5350769.625,5355119,5359693.1,3423.85,4322.5,5587.55,0.0639879912602292,0.0807171605336875,0.104251304986101,0.5,242
"33",3,20.5519671168526,0.509,0.4,0.7,846.875,1031,1231.025,5350742.2,5355077,5359624.25,15222.725,18316,21713.625,0.284497447849384,0.342030562772487,0.405133344935515,0.4,1031
"34",3,20.5519671168526,0.509,0.5,0.7,409.925,534,673.125,5350316.65,5354929.5,5359511.25,7478.5,9504.5,11921.2,0.13977677377282,0.17749066537664,0.222430730040916,0.5,534
"35",4,17.570281124498,0.58,0.4,0.7,1403.95,1661,1906.025,5350513.65,5354971.5,5359506.6,25354.675,29594,33703.775,0.473873662578171,0.552645331539113,0.628859660327688,0.4,1661
"36",4,17.570281124498,0.58,0.5,0.7,806.95,988.5,1191.05,5350585.9,5355061.5,5359543.625,14580.95,17650.5,21263.05,0.272511277690168,0.329604057768524,0.396732473653482,0.5,988.5
"37",5,15.3441473038141,0.633,0.4,0.7,2012.9,2312.5,2649.175,5350790.85,5354921,5359570.425,35965.725,41348.5,47159.1,0.67215718214813,0.772158917003631,0.879904474806859,0.4,2312.5
"38",5,15.3441473038141,0.633,0.5,0.7,1305.9,1560,1845.1,5350551.2,5354905.5,5359336.05,23634.025,27905.5,32666.775,0.441711967918371,0.521120307351829,0.60953026074937,0.5,1560
"39",6,13.6186770428016,0.675,0.4,0.7,2634.975,3006.5,3349.1,5350660.85,5354908,5359480.6,47368.7,53766.5,59654.025,0.885286908064823,1.00406020047403,1.11305608606924,0.4,3006.5
"40",6,13.6186770428016,0.675,0.5,0.7,1886.925,2207,2548.125,5350238.6,5355048,5359350,33809.95,39440,45343.725,0.631933499190111,0.7365013348153,0.846067620140502,0.5,2207
